Transaction_ID,Date,Account_Number,Transaction_Type,Amount,Currency,Counterparty,Category,Payment_Method,Risk_Incident,Risk_Type,Incident_Severity,Error_Code,User_ID,System_Latency,Login_Frequency,Failed_Attempts,IP_Region
TXN00001,2024-08-18,250637,Refund,952.11,USD,Garcia-Gordon,Payroll,Cash,0,None,None,None,U001,299.26,6,2,TH
TXN00002,2024-11-26,122794,Debit,3293.29,USD,"Heath, Pena and Buchanan",Payroll,Cash,1,Error,Low,E002,U233,248.61,4,1,TW
TXN00003,2024-04-30,152231,Debit,2849.97,USD,Pham PLC,Operations,Cash,0,None,None,None,U251,378.61,6,2,BI
TXN00004,2024-03-23,862833,Refund,9813.53,USD,"Levine, Long and Stewart",Payroll,Cash,0,None,None,None,U235,242.19,9,3,LV
TXN00005,2024-07-03,436506,Credit,1228.69,USD,Lee LLC,Inventory,Bank Transfer,0,None,None,None,U500,327.81,4,1,DZ
TXN00006,2024-02-22,792179,Debit,3741.85,USD,Wilkerson-Atkins,Sales,Bank Transfer,0,None,None,None,U008,141.74,4,5,GB
TXN00007,2024-05-20,961613,Debit,9292.19,USD,"Barker, Davis and Fisher",Inventory,Credit Card,0,None,None,None,U041,129.93,9,4,SD
TXN00008,2024-12-21,785021,Debit,1069.64,USD,Duke Group,Marketing,Credit Card,1,Misstatement,Medium,M003,U347,177.14,8,3,NP
TXN00009,2024-04-07,732663,Refund,3242.15,USD,"Blanchard, Graves and Bell",Payroll,Cash,0,None,None,None,U175,343.45,9,5,LY
TXN00010,2024-03-13,110110,Debit,298.46,USD,Armstrong-Johnson,Inventory,Bank Transfer,0,None,None,None,U133,474.56,10,1,CF
TXN00011,2024-10-10,166689,Refund,4607.73,USD,"Stanley, Gates and Torres",Payroll,Cash,0,None,None,None,U330,238.58,6,5,RS
TXN00012,2024-06-20,716212,Refund,7079.99,USD,Preston-Trevino,Sales,Cash,1,Fraud,High,E002,U096,383.0,10,2,CU
TXN00013,2025-01-05,928278,Refund,4803.75,USD,"Nichols, Owens and Gomez",Operations,Bank Transfer,0,None,None,None,U338,309.31,2,2,SL
TXN00014,2024-01-25,762652,Debit,6287.28,USD,Mendoza Ltd,Inventory,Bank Transfer,0,None,None,None,U013,226.95,10,5,IN
